society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
unitech espace,10.3,sector 50,31790.0,5,6,3+,3.0,Moderately Old,house,3240.0,1,1,1,1,0,2,160
orris aster court premier,1.73,sector 85,6757.0,4,5,3+,8.0,Relatively New,flat,2017.0,0,1,0,0,0,0,16
rk tower,0.95,sector 2,9595.0,2,2,1,1.0,Relatively New,flat,1100.0,0,0,0,0,0,0,99
smriti apartment,0.45,sector 56,7500.0,1,1,2,3.0,Old Property,flat,543.0,0,0,0,0,0,0,57
sobha city,2.45,sector 108,14040.0,3,3,3,15.0,Relatively New,flat,1460.0,0,0,0,0,0,0,49
hero homes,1.35,sector 104,9565.0,3,2,2,18.0,New Property,flat,1094.0,0,0,0,0,0,0,49
emaar digihomes,2.45,sector 62,16000.0,2,2,2,7.0,New Property,flat,1200.0,1,0,0,0,0,1,174
independent,1.16,sector 37d,7537.0,1,1,0,1.0,Relatively New,house,1535.0,0,0,0,0,0,0,0
birla navya,3.7,sector 63a,15416.0,3,3,3+,1.0,Under Construction,flat,2667.0,0,0,0,0,0,0,72
m3m heights,2.44,sector 65,13300.0,3,3,2,7.0,Under Construction,flat,1654.0,0,0,0,0,0,0,31
breez global heights 88a,0.5,sector 88a,8375.0,3,2,2,2.0,Under Construction,flat,663.0,0,0,0,0,0,0,15
rattan vihar rajendra park,0.85,dwarka expressway,14167.0,1,5,3+,4.0,New Property,house,600.0,0,0,0,0,0,0,0
ansal api sushant estate,0.29,sector 52,11600.0,1,1,0,0.0,Moderately Old,flat,278.0,0,0,0,0,0,2,49
vatika independent floors,1.16,sector 82,6987.0,3,3,3+,1.0,Relatively New,flat,1844.0,0,1,1,1,0,2,151
independent,0.85,sector 4,7522.0,3,3,0,1.0,Moderately Old,house,1130.0,0,0,0,0,0,0,0
signature global the millennia,0.6,sector 37d,9230.0,2,2,3,7.0,New Property,flat,625.0,0,0,0,0,0,0,35
independent,1.0,sector 3 phase 2,11111.0,3,4,2,2.0,Relatively New,house,900.0,0,0,0,0,0,0,0
independent,18.25,sector 26,18250.0,7,9,3+,4.0,Relatively New,house,11111.0,1,1,1,1,0,2,77
ambience lagoon,5.8,sector 24,12500.0,3,4,3+,9.0,Old Property,flat,3700.0,1,1,0,1,1,1,68
vipul tatvam villa,7.69,sector 48,24069.0,4,5,3,2.0,Moderately Old,house,3195.0,1,1,1,1,0,2,110
ss radiance residency,0.6,sector 12,5660.0,3,3,2,3.0,Relatively New,flat,1178.0,0,0,0,0,0,0,44
vatika gurgaon,1.4,sector 83,6628.0,3,3,2,7.0,Relatively New,flat,1570.0,0,0,0,0,0,2,74
independent,3.25,sector 4,14444.0,3,3,2,2.0,Old Property,house,2250.0,0,0,0,0,0,0,27
independent,1.65,sector 41,13750.0,1,1,0,1.0,Moderately Old,house,1200.0,0,0,0,0,0,0,0
antriksh heights,0.85,sector 84,5556.0,2,2,3,10.0,New Property,flat,1222.0,1,0,0,0,1,0,24
godrej oasis,1.3,sector 88a,7258.0,3,3,3+,4.0,Relatively New,flat,1990.0,0,0,0,0,0,0,79
dlf the primus,1.85,sector 82a,10176.0,3,3,3,15.0,Moderately Old,flat,1677.0,0,0,0,0,1,0,38
signature global solera,0.35,sector 107,6398.0,2,2,2,8.0,Relatively New,flat,608.0,0,0,0,0,0,0,45
sare petioles,1.3,sector 92,6373.0,4,4,0,7.0,Relatively New,flat,2040.0,0,0,0,0,0,0,0
pareena coban residences,1.05,sector 99a,6774.0,2,2,3,2.0,Relatively New,flat,1390.0,1,0,0,0,0,0,49
ashok vihar phase 2,0.28,sector 3 phase 2,4307.0,2,2,1,3.0,Relatively New,flat,600.0,0,0,0,0,0,0,64
vatika the seven lamps,0.94,sector 82,6533.0,2,2,3+,9.0,Relatively New,flat,1299.0,1,0,0,0,0,2,117
dlf the primus,3.5,sector 82a,13430.0,5,5,3+,14.0,Relatively New,flat,2896.0,1,0,0,0,0,1,49
signature global solera,0.5,sector 107,7692.0,2,2,1,11.0,Relatively New,flat,494.0,0,0,0,0,0,0,55
bestech park view city,2.9,sector 49,12169.0,4,4,3+,5.0,Moderately Old,flat,2157.0,0,1,0,0,0,0,117
ats kocoon,2.22,sector 109,10596.0,3,4,3,14.0,Relatively New,flat,1860.0,1,1,1,1,0,0,45
independent,0.5,sector 105,5556.0,2,2,0,1.0,Moderately Old,house,100.0,0,0,0,0,0,0,0
ild greens,1.0,sector 37c,4320.0,3,3,3+,5.0,Under Construction,flat,1697.0,0,0,0,0,0,0,51
sidhartha ncr one phase,0.43,sector 95,3152.0,2,2,2,6.0,Relatively New,flat,1300.0,0,0,0,0,0,0,120
dlf wellington estate,2.09,sector 43,14615.0,3,3,2,11.0,Old Property,flat,1294.0,0,0,0,0,0,2,79
smart world gems,0.9,sector 89,8145.0,2,2,2,1.0,New Property,flat,1105.0,0,0,0,0,0,0,45
mapsko royale ville,0.97,sector 82,5418.0,3,4,2,16.0,Relatively New,flat,1620.0,0,1,0,0,0,0,95
m3m merlin,2.78,sector 67,13580.0,3,3,3+,4.0,Relatively New,flat,2047.13,0,0,0,1,0,2,157
experion windchants,4.75,sector 112,12622.0,3,5,3+,4.0,Relatively New,flat,3405.0,0,1,0,0,0,2,42
independent,1.15,sector 105,3285.0,3,2,1,1.0,Moderately Old,house,3889.0,0,0,0,0,0,0,0
bestech park view city,3.0,sector 49,12589.0,4,4,3,5.0,Moderately Old,flat,2200.0,0,1,0,1,0,2,141
vatika gurgaon,0.95,sector 83,6574.0,2,2,3,5.0,Relatively New,flat,1300.0,0,0,0,0,0,2,96
ss,1.2,sector 85,7151.0,2,2,3,15.0,Relatively New,flat,1660.0,0,0,0,0,0,0,49
pareena mi casa,1.1,sector 68,8835.0,2,2,3,11.0,New Property,flat,1127.0,0,0,0,0,0,0,95
raheja the vedaanta floors,0.7,sector 108,4521.0,2,2,3,1.0,Moderately Old,flat,1720.0,0,0,0,0,0,2,0
experion windchants,5.6,sector 112,11529.0,4,6,3+,15.0,Moderately Old,flat,3662.34,0,1,0,0,0,2,157
independent,19.0,sector 26,42222.0,6,8,3+,3.0,Moderately Old,house,4500.0,1,1,1,1,0,2,103
puri diplomatic greens,9.0,sector 111,11250.0,5,5,3+,3.0,Relatively New,house,8000.0,0,1,0,0,0,0,112
ats tourmaline,2.1,sector 109,8123.0,3,4,3+,11.0,Relatively New,flat,2100.0,0,1,0,0,0,2,165
orris carnation residency,0.72,sector 85,4881.0,3,3,2,9.0,Moderately Old,flat,1350.0,0,0,0,0,1,0,49
aipl zen residences,1.34,sector 70a,10276.0,2,2,3+,17.0,New Property,flat,1180.0,0,0,0,0,0,2,110
vatika sovereign next sector-82 a gurgaon,2.91,sector 82a,6700.0,4,4,3,6.0,Under Construction,flat,3902.0,1,1,1,0,0,2,79
m3m heights,2.33,sector 65,18477.0,2,2,3,35.0,Under Construction,flat,1141.0,0,0,0,0,0,2,49
m3m woodshire,0.9,sector 107,6588.0,2,2,3+,4.0,Relatively New,flat,1236.0,0,0,0,0,0,0,21
ramsons kshitij,0.33,sector 95,3911.0,2,2,1,14.0,New Property,flat,694.0,0,0,0,0,1,2,79
bestech park view grand spa,2.91,sector 81,9136.0,4,5,2,6.0,Relatively New,flat,3017.0,0,1,0,0,0,2,101
ss the leaf,1.2,sector 85,10452.0,2,2,3+,2.0,Relatively New,flat,1380.0,0,0,1,0,0,0,156
dlf the skycourt,1.58,sector 86,8190.0,3,3,1,16.0,Relatively New,flat,1750.0,0,0,0,1,0,2,152
eldeco accolade,0.87,sohna road,5965.0,2,2,3+,10.0,Relatively New,flat,1131.0,1,0,0,0,0,0,72
central park flower valley aqua front towers,1.7,sector 33,9502.0,3,3,3,12.0,Under Construction,flat,1619.0,0,0,0,0,0,0,24
tarc maceo,0.96,sector 91,5413.0,2,2,3+,8.0,Moderately Old,flat,1271.0,0,0,0,0,0,0,85
sobha city,3.95,sector 108,16858.0,3,4,2,15.0,Relatively New,flat,2343.1,0,1,0,0,0,0,49
raheja vedaanta,0.7,sector 108,4666.0,2,2,1,10.0,Moderately Old,flat,1468.0,0,0,0,0,0,0,0
bptp visionnaire,4.02,sector 70a,7309.0,4,4,3+,3.0,Relatively New,house,5500.0,1,1,1,1,0,0,138
unitech sunbreeze,1.0,sector 69,5476.0,4,3,0,0.0,Relatively New,flat,1826.0,0,0,0,0,0,0,0
rof ananda,0.38,sector 95,5899.0,3,2,1,2.0,Relatively New,flat,716.0,0,0,0,1,0,2,66
landmark the residency,0.9,sector 103,6666.0,2,2,2,1.0,Relatively New,flat,1222.0,0,0,0,0,0,0,44
raheja vedaanta,1.5,sector 108,5263.0,3,4,0,12.0,Relatively New,flat,2850.0,0,0,0,0,0,0,0
emaar gurgaon greens,1.3,sector 102,7878.0,3,3,3,7.0,Relatively New,flat,1388.0,0,1,0,0,0,0,93
tulip violet,1.95,sector 69,9701.0,4,4,2,0.0,Relatively New,flat,1819.0,0,0,0,0,0,0,157
sushant lok 1 builder floors,10.85,sector 43,28841.0,8,8,3,3.0,Moderately Old,house,3762.0,1,1,1,1,0,1,160
dlf the grove,5.7,sector 54,41245.0,3,3,3,1.0,Moderately Old,flat,1381.99,0,0,0,0,0,0,46
signature global city 37d ph 2,1.36,sector 37d,8846.0,3,3,3,1.0,Under Construction,flat,1535.0,0,0,0,1,1,0,37
ss the leaf,1.98,sector 85,8256.0,3,4,3,12.0,Relatively New,flat,2399.0,0,0,1,0,0,0,174
la vida by tata housing,2.45,sector 113,11050.0,3,3,3+,3.0,Relatively New,flat,1890.0,1,0,0,0,0,0,174
satya the hermitage,0.93,sector 103,6404.0,2,3,3,3.0,Relatively New,flat,1613.0,0,1,0,0,0,2,90
smart world orchard,2.0,sector 61,12911.0,3,3,2,3.0,New Property,flat,1721.0,0,0,0,0,1,0,61
raheja vedaanta,0.8,sector 108,4080.0,3,3,3,9.0,Relatively New,flat,1663.0,0,0,0,1,0,0,174
independent,4.75,sector 57,28788.0,3,3,3,2.0,Moderately Old,house,1650.0,0,0,1,0,0,2,96
m3m woodshire,0.9,sector 107,6590.0,2,2,3+,10.0,Relatively New,flat,1236.0,0,0,0,0,1,2,49
international city by sobha phase 2,9.5,sector 109,26389.0,5,5,3+,2.0,Relatively New,house,3600.0,1,1,1,1,0,0,133
ansal housing highland park,1.1,sector 103,6242.0,3,3,3+,7.0,New Property,flat,1500.0,0,0,0,0,0,0,87
independent,2.9,sector 12,10741.0,7,7,3,2.0,Old Property,house,2700.0,0,0,0,0,0,0,7
independent,1.0,sector 6,4630.0,6,4,0,3.0,Moderately Old,house,240.0,0,0,0,0,0,0,0
ansal heights,0.6,sector 92,4546.0,2,2,3,11.0,Under Construction,flat,1195.0,0,0,0,0,1,0,23
independent,11.25,sector 28,34722.0,9,9,3+,2.0,Moderately Old,house,3240.0,0,1,1,1,0,2,126
the lions cghs,1.99,sector 56,11055.0,4,4,3+,4.0,Old Property,flat,2000.0,0,0,0,1,1,2,105
signature global city 81,0.96,sector 81,9767.0,2,2,2,1.0,Under Construction,flat,1194.0,0,0,0,0,0,0,49
orchid petals,4.52,sector 49,10984.0,5,5,3+,14.0,Moderately Old,flat,3724.0,1,1,0,1,0,0,49
dlf park place,4.85,sector 54,30180.0,3,4,3+,6.0,Moderately Old,flat,1607.02,0,1,0,0,0,1,158
indiabulls centrum park,3.25,sector 103,8125.0,4,3,3+,20.0,Under Construction,house,4000.0,0,0,0,0,0,0,51
eldeco accolade,0.72,sohna road,4975.0,2,2,3+,12.0,Relatively New,flat,1131.0,1,0,0,0,0,0,152
ramsons kshitij,0.32,sector 95,4500.0,2,2,1,8.0,Relatively New,flat,563.0,0,0,0,0,1,1,28
ss the leaf,1.12,sector 85,6453.0,2,2,3,10.0,Relatively New,flat,1485.0,0,0,0,0,1,0,49
indiabulls centrum park,1.01,sector 103,8080.0,2,2,3,5.0,Relatively New,flat,1338.0,0,0,1,0,0,2,165
ss the leaf,2.0,sector 85,6578.0,4,5,3+,1.0,Relatively New,flat,2545.0,0,1,1,0,0,0,106
dlf city plot phase 4,13.0,sector 28,17931.0,10,10,3+,1.0,Relatively New,house,8056.0,0,0,0,0,0,0,0
shree vardhman victoria,1.9,sector 70,9743.0,3,3,3,10.0,New Property,flat,1765.0,0,1,1,1,1,0,36
ambience creacions,2.55,sector 22,13709.0,3,3,3,8.0,Relatively New,flat,1860.09,0,0,0,0,1,1,125
signature global synera,0.48,sector 81,8450.0,2,2,1,7.0,Relatively New,flat,613.0,0,0,0,0,0,2,70
independent,0.6,sector 105,13333.0,3,3,0,3.0,Moderately Old,house,450.0,0,0,0,0,0,0,0
mvn athens,0.26,sohna road,5397.0,2,2,1,2.0,Relatively New,flat,535.0,0,0,0,0,0,0,37
dlf city phase 1,4.5,sector 26,33333.0,3,3,2,2.0,Moderately Old,house,1350.0,1,1,0,0,0,0,70
puri diplomatic greens,3.9,sector 111,13000.0,4,5,3+,6.0,Relatively New,flat,2996.0,0,1,0,0,0,1,160
aipl zen residences,1.65,sector 70a,13074.0,2,2,3,23.0,New Property,flat,1142.0,0,0,0,0,0,0,81
independent,0.5,sector 4,9259.0,2,3,2,3.0,Old Property,house,540.0,0,0,0,0,0,0,0
the penthouses at the hibiscus,8.0,sector 50,8888.0,4,3,3,7.0,Moderately Old,flat,10000.0,0,1,0,0,0,0,35
ansal sushant lok ci,2.0,sector 43,15151.0,3,3,2,1.0,Old Property,flat,1467.0,0,1,0,0,0,1,15
ireo the corridors,1.5,sector 67a,11111.0,2,2,2,10.0,Relatively New,flat,1500.0,0,0,1,0,0,2,38
independent,5.25,sector 24,38889.0,4,4,3+,2.0,Relatively New,house,1350.0,0,1,0,1,0,2,72
independent,7.85,sector 43,29074.0,9,9,3+,3.0,Relatively New,house,2700.0,1,1,0,1,1,1,49
smart world orchard,2.45,sector 61,15800.0,3,3,3,3.0,New Property,flat,1223.0,1,1,0,0,0,0,119
tata primanti,3.5,sector 72,11428.0,4,5,3+,10.0,Relatively New,flat,2625.0,0,1,0,0,1,0,38
emaar palm gardens,1.8,sector 83,9473.0,3,4,3,4.0,Relatively New,flat,1551.0,1,1,1,1,0,2,174
puri emerald bay,1.59,sector 104,10903.0,2,2,2,12.0,Relatively New,flat,1403.0,0,0,0,0,0,0,121
vipul tatvam villa,8.25,sector 48,38194.0,4,4,3+,3.0,Relatively New,house,2160.0,0,1,1,0,0,2,160
vatika gurgaon,1.25,sector 83,6313.0,3,3,2,2.0,Relatively New,flat,1792.0,0,1,0,0,0,0,119
rose apartment,3.0,sector 28,10482.0,3,5,3+,8.0,Old Property,flat,2590.0,0,0,0,0,0,0,0
independent,5.5,sector 23,21825.0,8,8,2,3.0,Moderately Old,house,2520.0,1,1,0,1,0,2,76
conscient elevate,3.78,sector 59,16500.0,3,3,3,3.0,Under Construction,flat,2550.0,0,0,0,0,0,0,31
umang winter hills,1.35,sector 77,7780.0,3,3,3+,7.0,New Property,flat,1451.0,0,0,1,0,0,2,96
independent,5.0,sector 40,21124.0,9,9,3+,3.0,Moderately Old,house,2367.0,0,1,1,0,0,2,83
pyramid elite,0.45,sector 86,7739.0,2,2,1,4.0,Under Construction,flat,646.0,0,0,0,0,0,0,66
independent,13.5,sector 25,37313.0,5,6,3+,4.0,Old Property,house,3618.0,0,0,0,0,1,2,79
breeze global heights,0.4,sector 33,6421.0,2,2,2,4.0,Under Construction,flat,623.0,0,0,0,0,0,0,0
godrej oasis,2.65,sector 88a,16747.0,3,3,3+,10.0,New Property,flat,1582.37,0,0,0,0,0,0,110
tulsiani easy in homes,0.4,sohna road,6722.0,2,2,3,12.0,New Property,flat,661.0,0,0,0,0,0,0,36
sare green parc phase 3,1.1,sector 92,6875.0,4,3,2,12.0,New Property,flat,1778.0,0,0,0,0,0,0,15
corona optus,1.5,sector 37c,6361.0,3,4,3+,14.0,New Property,flat,2134.0,0,1,0,0,1,0,83
signature global park 4,0.72,sector 36,6660.0,3,2,3,3.0,Under Construction,flat,978.0,0,0,0,0,0,0,0
ss the leaf,1.65,sector 85,6852.0,3,4,3,9.0,New Property,flat,2179.0,0,0,0,1,0,0,21
sare green parc 2,1.07,sector 92,5246.0,4,3,3,10.0,Under Construction,flat,2040.0,1,1,0,0,0,0,86
ansals florence villa,3.3,sector 57,19820.0,4,3,3+,2.0,Moderately Old,house,1665.0,1,1,1,1,0,0,151
ats triumph,2.55,sector 104,13076.0,4,4,3+,21.0,Relatively New,flat,2509.0,0,1,0,0,0,0,150
la vida by tata housing,1.35,sector 113,13989.0,2,2,3,10.0,New Property,flat,1090.0,0,0,0,0,0,0,174
godrej aria,0.96,sector 79,13296.0,2,2,3,8.0,Relatively New,flat,1012.0,0,0,0,0,0,0,49
independent,3.2,sector 9,13519.0,3,3,2,1.0,Old Property,house,2367.0,0,0,0,0,0,2,36
ss the leaf,1.93,sector 85,8075.0,3,4,3,7.0,Relatively New,flat,2400.0,0,1,0,0,0,0,174
bptp astaire gardens,1.2,sector 70a,7058.0,3,3,3+,2.0,Relatively New,flat,1450.0,0,0,0,0,0,1,38
suncity vatsal valley,1.38,gwal pahari,12212.0,2,2,2,4.0,Under Construction,flat,1130.0,0,0,0,0,0,2,133
bptp astaire gardens,1.8,sector 70a,9350.0,3,3,3,3.0,Relatively New,flat,1925.0,1,0,0,0,0,0,135
capital residences 360,1.69,sector 70a,8552.0,3,3,3+,8.0,New Property,flat,1900.0,0,1,0,0,0,0,165
smart world gems,0.95,sector 89,8600.0,2,2,2,4.0,New Property,flat,1226.0,1,1,0,0,0,0,38
emaar mgf emerald floors premier,2.24,sector 65,13575.0,3,3,3,2.0,Relatively New,flat,1833.0,1,1,0,0,0,0,46
krisumi waterfall residences,2.2,sector 36a,14874.0,2,2,2,23.0,New Property,flat,1338.0,0,0,0,0,0,0,15
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,6.0,Relatively New,flat,1500.0,0,1,0,0,0,2,165
tulip violet,1.38,sector 69,8966.0,3,3,1,12.0,Relatively New,flat,1392.0,0,0,0,1,0,0,86
vasant appartments,1.7,sector 14,7391.0,5,5,2,2.0,Old Property,flat,2556.0,1,0,1,1,0,1,71
ats marigold,1.7,sector 89,9714.0,3,3,3+,8.0,Under Construction,flat,1944.0,1,0,0,0,0,0,65
mapsko royale ville,1.12,sector 82,8000.0,3,4,2,6.0,Relatively New,flat,1500.0,0,1,0,1,0,2,174
tulip violet,1.8,sector 69,8955.0,4,4,2,9.0,Relatively New,flat,1819.0,0,0,0,1,0,2,165
ansals palam vihar,2.75,sector 2,17662.0,3,3,3,2.0,Moderately Old,house,1557.0,1,0,0,1,0,2,15
antriksh heights,0.85,sector 84,4927.0,3,3,3+,10.0,Relatively New,flat,1561.0,1,0,0,0,0,0,52
raheja navodaya,0.85,sector 92,4271.0,3,3,3,2.0,Relatively New,flat,1801.0,0,0,0,0,0,0,100
ats kocoon,2.22,sector 109,10596.0,3,3,3,20.0,Relatively New,flat,1896.0,0,1,0,0,1,0,79
independent,1.45,sector 28,8002.0,3,2,1,1.0,Relatively New,house,1800.0,0,0,0,0,0,0,0
alpha corp gurgaonone,1.2,sector 84,9448.0,2,2,1,6.0,Relatively New,flat,1149.0,0,0,0,0,0,0,13
emaar gurgaon greens,1.4,sector 102,8484.0,3,3,3,4.0,Relatively New,flat,1493.0,0,1,0,0,0,2,83
smart world orchard,2.57,sector 61,15766.0,3,3,2,3.0,Under Construction,flat,1630.09,1,0,0,0,0,0,0
emaar mgf marbella,12.0,sector 66,37037.0,5,5,3+,3.0,New Property,house,3240.0,0,1,1,1,0,2,106
independent,1.7,sector 108,5667.0,4,4,3+,1.0,Relatively New,house,3000.0,0,0,0,0,0,0,0
independent,0.44,sector 11,4251.0,3,2,1,1.0,Relatively New,house,128.0,0,0,0,1,1,0,46
tulip violet,1.2,sector 69,10909.0,2,3,0,0.0,Relatively New,flat,1100.0,0,0,0,0,0,0,54
avl 36 gurgaon,0.45,sector 36a,9000.0,1,1,1,9.0,Relatively New,flat,452.0,0,0,0,0,0,0,0
imperia the esfera,0.86,sector 37c,4886.0,3,3,2,0.0,New Property,flat,1593.0,0,0,0,0,1,0,35
bhagwati sadan,1.15,sector 12,5750.0,3,4,2,2.0,Old Property,flat,2000.0,1,1,0,0,1,2,28
independent,5.0,sector 4,10101.0,3,3,2,1.0,Old Property,house,4950.0,0,0,0,0,0,0,22
godrej habitat,1.3,sector 3,9002.0,2,2,2,6.0,Under Construction,flat,1604.0,0,0,0,0,0,0,36
ild grand centra,0.95,sector 37c,5220.0,3,1,0,0.0,Relatively New,flat,1820.0,0,0,0,0,0,0,0
independent,3.69,sector 31,23699.0,4,4,2,2.0,Moderately Old,house,1557.0,1,1,0,1,0,2,75
tata gurgaon gateway,6.0,sector 113,9139.0,5,6,3+,24.0,Moderately Old,flat,7294.0,0,0,0,0,0,0,117
trisara our homes 3,0.35,sohna road,5564.0,2,2,1,2.0,New Property,flat,699.0,0,0,0,0,0,0,74
emaar mgf palm hills,1.9,sector 77,9500.0,3,4,3+,6.0,New Property,flat,1582.0,0,1,0,0,0,2,42
ss the leaf,1.91,sector 85,5026.0,4,6,3,6.0,Relatively New,flat,3890.0,0,1,0,0,0,0,174
emaar gurgaon greens,1.4,sector 102,8484.0,3,3,3,10.0,Relatively New,flat,1300.0,0,1,0,0,0,0,46
supertech araville,0.8,sector 79,5266.0,2,2,2,12.0,New Property,flat,1688.0,1,0,0,0,0,0,49
independent,5.8,sector 26,32222.0,4,3,2,2.0,Relatively New,house,1800.0,0,0,1,0,0,0,21
kiran residency,1.5,sector 56,7500.0,3,3,3+,4.0,Relatively New,flat,1900.0,0,1,0,0,0,2,126
m3m woodshire,0.88,sector 107,6442.0,2,2,3+,3.0,Relatively New,flat,1236.0,0,0,0,0,0,0,99
godrej air,2.5,sector 85,13797.0,4,5,3+,16.0,Under Construction,flat,2013.0,1,0,0,1,1,2,44
huda plots,2.95,sector 56,20359.0,2,2,2,1.0,Moderately Old,house,1449.0,0,0,0,0,0,0,31
bestech park view residency,0.55,sector 2,8461.0,1,1,2,7.0,Moderately Old,flat,588.0,0,0,0,0,0,0,31
global hill view,0.33,sector 11,4271.0,2,2,0,11.0,Relatively New,flat,761.0,0,0,0,0,0,0,0
godrej nature plus,1.65,sector 33,8266.0,3,3,3,2.0,Under Construction,flat,2218.0,0,1,0,0,0,0,37
bptp terra,1.78,sector 37d,8124.0,4,3,3,10.0,Relatively New,flat,1983.0,0,1,0,0,0,0,127
bptp terra,1.95,sector 37d,14444.0,4,3,3,7.0,Under Construction,flat,1650.0,0,0,0,0,0,0,53
sai kripa floors 5,0.9,sector 11,11250.0,2,5,3,3.0,Relatively New,house,800.0,0,0,0,0,0,0,0
sobha city,4.1,sector 108,23401.0,4,5,3,25.0,New Property,flat,2343.0,1,1,0,0,0,1,97
independent,3.0,sector 17,11111.0,4,4,0,1.0,Old Property,house,3000.0,0,0,0,0,0,0,0
lotus homz,0.36,sector 111,8888.0,1,1,1,10.0,Relatively New,flat,450.0,0,0,0,0,0,0,44
unitech aspen greens,6.95,sector 50,32176.0,3,3,1,2.0,Moderately Old,house,2160.0,0,1,0,0,0,0,160
paras dews,1.4,sector 106,6000.0,3,4,3+,12.0,Under Construction,flat,1593.0,1,1,0,0,1,0,55
ats tourmaline,1.5,sector 109,6976.0,3,4,3+,4.0,Relatively New,flat,1797.0,0,1,0,0,0,0,39
supertech araville,0.71,sector 79,5522.0,2,2,0,9.0,Under Construction,flat,1295.0,0,0,0,0,0,0,0
ashiana anmol,0.88,sohna road,11125.0,2,2,2,13.0,Relatively New,flat,1016.0,0,0,0,0,0,1,127
puri diplomatic greens,2.58,sector 111,11727.0,3,4,2,9.0,Relatively New,flat,2200.05,0,1,0,0,0,0,101
central park resorts,3.65,sector 48,15240.0,3,3,3+,9.0,Relatively New,flat,2395.01,0,0,0,0,1,2,157
godrej summit,1.3,sector 104,7893.0,3,3,3,8.0,New Property,flat,1490.0,0,0,0,0,1,0,103
independent,13.5,sector 26,29880.0,5,5,3+,2.0,Relatively New,house,4518.0,1,1,0,1,1,1,49
antriksh heights,1.05,sector 84,5011.0,4,4,3+,3.0,New Property,flat,1896.0,1,0,0,0,0,0,66
independent,2.95,sector 56,20233.0,2,2,0,1.0,Moderately Old,house,1458.0,0,0,0,0,0,0,0
corona optus,1.44,sector 37c,7236.0,3,3,3+,2.0,Relatively New,flat,1789.0,1,1,0,0,1,0,49
godrej,1.33,sector 79,8531.0,2,2,3,6.0,Relatively New,flat,1411.0,1,0,0,0,0,0,158
dlf city plots,13.5,sector 26,29880.0,5,5,3,2.0,Old Property,house,4518.0,1,1,1,1,0,2,110
m3m woodshire,1.3,sector 107,8922.0,3,3,3+,4.0,Relatively New,flat,1554.0,0,0,0,1,0,2,174
signature global city 92,0.99,sector 92,6622.0,3,2,3,1.0,New Property,flat,1661.0,0,0,0,0,1,0,37
imperia the esfera,0.9,sector 37c,6272.0,3,3,3,9.0,Relatively New,flat,1435.0,0,0,0,0,0,0,66
apex our homes,0.35,sector 37c,3783.0,2,2,1,7.0,Relatively New,flat,850.0,0,0,0,0,0,2,158
bestech park view residency,1.4,sector 2,7865.0,3,3,3+,6.0,Old Property,flat,1611.0,0,0,0,0,0,1,107
bestech park view ananda,0.95,sector 81,10626.0,2,2,2,2.0,Relatively New,flat,1112.0,0,0,0,0,0,2,104
chd avenue,1.25,sector 71,6597.0,3,4,2,14.0,Relatively New,flat,1577.0,1,1,0,1,1,1,128
m3m ikonic,1.78,sector 68,9128.0,3,3,3+,27.0,Relatively New,flat,1845.0,0,0,0,0,0,2,126
mvn athens,0.24,sohna road,4210.0,2,2,1,12.0,Relatively New,flat,516.0,0,0,0,0,0,0,38
assotech blith,0.82,sector 99,6007.0,2,2,3,0.0,New Property,flat,1365.0,0,0,0,0,0,0,51
pareena mi casa,1.1,sector 68,9020.0,2,2,3,13.0,New Property,flat,1244.0,0,0,0,0,0,0,106
independent,0.6,sector 9,10753.0,3,3,1,2.0,Relatively New,house,558.0,0,0,0,0,0,0,0
experion the heartsong,1.68,sector 108,8387.0,3,3,3+,4.0,Relatively New,flat,1338.29,1,1,0,0,0,2,86
mvn athens,0.21,sohna road,4666.0,1,1,1,11.0,New Property,flat,500.0,0,0,0,0,0,0,16
sare crescent parc,0.65,sector 92,4596.0,3,3,3,3.0,Moderately Old,flat,1571.0,0,0,0,0,0,0,44
m3m capital,3.25,sector 113,14142.0,4,4,3+,34.0,Under Construction,flat,2553.0,1,1,0,1,0,0,115
dlf new town heights,1.9,sector 90,6967.0,4,4,3+,19.0,Relatively New,flat,2512.0,0,1,1,0,0,2,174
emaar mgf marbella,9.01,sector 66,16066.0,4,4,3+,3.0,Relatively New,house,5574.7,0,1,1,0,0,0,122
raheja vedaanta,0.95,sector 108,5214.0,3,3,3,3.0,Relatively New,flat,1649.0,0,0,0,0,1,0,95
bptp astaire gardens,1.04,sector 70a,7172.0,3,3,3+,2.0,Relatively New,house,1611.0,0,0,0,0,1,2,145
bestech park view grand spa,3.0,sector 81,9419.0,4,5,2,6.0,Relatively New,flat,2882.0,0,1,0,0,0,2,110
dlf the ultima,2.21,sector 81,10365.0,3,3,3+,3.0,Relatively New,flat,1881.0,0,1,0,0,0,1,149
independent,0.45,sector 7,5000.0,3,2,0,1.0,Old Property,house,1000.0,0,0,0,0,0,0,0
independent,9.9,sector 105,49500.0,2,2,2,3.0,Moderately Old,house,2000.0,0,0,0,0,0,0,0
godrej oasis,1.0,sector 88a,6896.0,2,2,3,7.0,Relatively New,flat,1611.0,1,0,0,0,0,0,72
microtek greenburg,1.45,sector 86,9797.0,3,2,3,8.0,Relatively New,flat,1480.0,0,0,0,0,0,1,72
